Running with TEMP=0.0, sub_array_index=52
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 52: rows 2550 to 2599
GO Term: Gocc Dna Packaging Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Gocc Set1C Compass Complex -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus
GO Term: Gocc Signal Recognition Particle -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Pigment Granule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Autophagy, Lipid Metabolism, Protein Metabolism and Trafficking, Response to Stimulus
GO Term: Gocc Cell Pole -> Biodomain: Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Signal Transduction
GO Term: Gocc Micos Complex -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gocc Collagen Containing Extracellular Matrix -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gocc Saga Type Complex -> Biodomain: Epigenetic Regulation, Transcription and Translation Machinery, Signal Transduction, System and Developmental Process, Response to Stimulus
GO Term: Gocc Gamma Secretase Complex -> Biodomain: Signal Transduction, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization
GO Term: Gocc H3 Histone Acetyltransferase Complex -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Structural Stabilization, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gocc Tertiary Granule -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Immune System and Inflammation, Structural Stabilization
GO Term: Gocc Prespliceosome -> Biodomain: RNA Metabolism, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gocc Pi Body -> Biodomain: RNA Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Epigenetic Regulation, System and Developmental Process
GO Term: Gocc Nbaf Complex -> Biodomain: Epigenetic Regulation, Neurodevelopment and Neuronal Differentiation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process
GO Term: Gocc Neuronal Ribonucleoprotein Granule -> Biodomain: Neurotransmission and Synaptic Regulation, RNA Metabolism, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Endocytic Vesicle Lumen -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gocc Endoplasmic Reticulum Tubular Network -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis
GO Term: Gocc Ragulator Complex -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gocc Msl Complex -> Biodomain: Epigenetic Regulation, Protein Metabolism and Trafficking, Transcription and Translation Machinery, System and Developmental Process, Signal Transduction
GO Term: Gocc Emc Complex -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Lipid Metabolism, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gocc Nlrp3 Inflammasome Complex -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Blood Microparticle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus
GO Term: Gocc Flemming Body -> Biodomain: Cell Cycle, Structural Stabilization, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Phagocytic Vesicle Lumen -> Biodomain: Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Protein Metabolism and Trafficking, Structural Stabilization
GO Term: Gocc Bcl 2 Family Protein Complex -> Biodomain: Apoptosis, DNA Repair, Response to Stimulus, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gocc Alveolar Lamellar Body -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Protein Metabolism and Trafficking
GO Term: Gocc Sperm Midpiece -> Biodomain: Structural Stabilization, Mitochondrial Function and Metabolism, System and Developmental Process, Cell Adhesion and Interaction, Molecular Transport and Homeostasis
GO Term: Gocc Sperm Mitochondrial Sheath -> Biodomain: Mitochondrial Function and Metabolism, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Cell Adhesion and Interaction
GO Term: Gocc Sperm Annulus -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gocc Sperm Principal Piece -> Biodomain: Structural Stabilization, Cell Adhesion and Interaction, System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc R2Tp Complex -> Biodomain: Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction, Transcription and Translation Machinery, Intracellular Trafficking and Organelle Dynamics
GO Term: Gocc Lewy Body -> Biodomain: Protein Metabolism and Trafficking, Neurotransmission and Synaptic Regulation, Neurodevelopment and Neuronal Differentiation, Mitochondrial Function and Metabolism, Response to Stimulus
GO Term: Gocc Neurofibrillary Tangle -> Biodomain: Protein Metabolism and Trafficking, Neurodevelopment and Neuronal Differentiation, Signal Transduction, Structural Stabilization, System and Developmental Process
GO Term: Gocc Apical Dendrite -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Basal Dendrite -> Biodomain: Neurodevelopment and Neuronal Differentiation, Structural Stabilization, Neurotransmission and Synaptic Regulation, Cell Adhesion and Interaction, System and Developmental Process
GO Term: Gocc Sorting Endosome -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process
GO Term: Gocc Astrocyte End Foot -> Biodomain: Gliogenesis and Glial Differentiation, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process
GO Term: Gocc Hippocampal Mossy Fiber -> Biodomain: Neurotransmission and Synaptic Regulation, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gocc Multivesicular Body Internal Vesicle -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Autophagy, Apoptosis, Structural Stabilization
GO Term: Gocc Sperm Plasma Membrane -> Biodomain: Reproductive System, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis
Saved results to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/go_biodomain_results_part_52.csv
Logged runtime to: Experiment/DeepSeek/03-FXS-padj-0.1/D154_4_samples/Temp_0.0/runtime_log.csv
