pathway,Biodomain,biodomain_top5
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, Proteostasis"
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Immune Response,"Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress"
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION,Immune Response,"Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION,Immune Response,"Immune Response, Vasculature, Apoptosis, Proteostasis, Synapse"
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,Immune Response,"Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,Immune Response,"Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,unknown,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_REGULATION_OF_HYPERSENSITIVITY,unknown,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_SKELETAL_MUSCLE_CONTRACTION,Vasculature,"Vasculature, Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism"
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION_BY_CHEMICAL_SIGNAL,Vasculature,"Vasculature, Mitochondrial Metabolism, Immune Response, Structural Stabilization, Oxidative Stress"
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,Vasculature,"Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_HEART_VALVE_FORMATION,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, Apoptosis"
GOBP_ENDOCARDIAL_CUSHION_FUSION,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Apoptosis, Myelination"
GOBP_NORADRENERGIC_NEURON_DEVELOPMENT,unknown,"Synapse, Immune Response, Vasculature, Myelination, Structural Stabilization"
GOBP_CHONDROCYTE_HYPERTROPHY,unknown,"Vasculature, Structural Stabilization, Immune Response, Apoptosis, Myelination"
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DIFFERENTIATION,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, Epigenetic"
GOBP_CELLULAR_GLUCAN_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Immune Response"
GOBP_SUCCINYL_COA_METABOLIC_PROCESS,Mitochondrial Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,Lipid Metabolism,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_SUCCINATE_TO_UBIQUINONE,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization"
GOBP_ADP_BIOSYNTHETIC_PROCESS,unknown,"Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_IMP_CATABOLIC_PROCESS,unknown,"Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress"
GOBP_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_DNA_REPLICATION_INITIATION,Cell Cycle,"Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic"
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING,DNA Repair,"DNA Repair, Proteostasis, Oxidative Stress, Cell Cycle, Epigenetic"
GOBP_DNA_RECOMBINATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis"
GOBP_RRNA_PROCESSING,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_TRANSLATIONAL_ELONGATION,Proteostasis,"Proteostasis, RNA Spliceosome, Cell Cycle, Apoptosis, Epigenetic"
GOBP_TRANSLATIONAL_TERMINATION,Proteostasis,"Proteostasis, RNA Spliceosome, Apoptosis, Cell Cycle, Epigenetic"
GOBP_PROTEIN_FOLDING,Proteostasis,"Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization"
GOBP_DE_NOVO_PROTEIN_FOLDING,Proteostasis,"Proteostasis, Autophagy, Epigenetic, DNA Repair, Synapse"
GOBP_GPI_ANCHOR_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis, Proteostasis"
GOBP_PROTEOLYSIS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Apoptosis"
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Proteostasis,"Proteostasis, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Autophagy"
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Proteostasis,"Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization"
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,Proteostasis,"Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Structural Stabilization"
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_SIGNAL_SEQUENCE_RECOGNITION,Proteostasis,"Proteostasis, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Autophagy"
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization"
GOBP_PROTEIN_RETENTION_IN_ER_LUMEN,Proteostasis,"Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization"
GOBP_PROTEIN_TARGETING_TO_PEROXISOME,unknown,"Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome"
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress"
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis"
GOBP_PROSTANOID_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, APP Metabolism"
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Epigenetic"
GOBP_CHOLESTEROL_CATABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Vasculature"
GOBP_COPPER_ION_TRANSPORT,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism"
GOBP_MITOCHONDRIAL_TRANSPORT,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization"
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_INTRACELLULAR_SODIUM_ION_HOMEOSTASIS,unknown,"Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism"
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome"
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,Endolysosome,"Endolysosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy"
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,Proteostasis,"Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism"
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,Endolysosome,"Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse"
GOBP_VESICLE_COATING,Proteostasis,"Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse"
GOBP_PHAGOCYTOSIS_RECOGNITION,Immune Response,"Endolysosome, Autophagy, Immune Response, Oxidative Stress, Proteostasis"
GOBP_RESPONSE_TO_OSMOTIC_STRESS,unknown,"Oxidative Stress, Proteostasis, Autophagy, Immune Response, Endolysosome"
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,unknown,"Proteostasis, Mitochondrial Metabolism, Synapse, Epigenetic, Autophagy"
GOBP_RESPONSE_TO_STEROL_DEPLETION,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism"
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION,unknown,"Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_NUCLEOLUS_ORGANIZATION,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization"
GOBP_MICROTUBULE_DEPOLYMERIZATION,Structural Stabilization,"Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy"
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Structural Stabilization,"Proteostasis, Structural Stabilization, Autophagy, Epigenetic, DNA Repair"
GOBP_ENDOSOME_ORGANIZATION,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Structural Stabilization"
GOBP_MITOTIC_SISTER_CHROMATID_COHESION,Cell Cycle,"Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Structural Stabilization"
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION,Cell Cycle,"Cell Cycle, Myelination, DNA Repair, Apoptosis, Epigenetic"
GOBP_FEMALE_MEIOSIS_I,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Autophagy, Myelination"
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,Structural Stabilization,"Structural Stabilization, Synapse, Immune Response, Myelination, Endolysosome"
GOBP_RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY,unknown,"Synapse, Immune Response, Vasculature, Oxidative Stress, Structural Stabilization"
GOBP_JNK_CASCADE,unknown,"Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Structural Stabilization"
GOBP_ECTODERM_DEVELOPMENT,unknown,"Myelination, Vasculature, Synapse, Structural Stabilization, Immune Response"
GOBP_ADULT_HEART_DEVELOPMENT,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, Mitochondrial Metabolism"
GOBP_FEEDING_BEHAVIOR,unknown,"Immune Response, Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism"
GOBP_CELL_RECOGNITION,unknown,"Synapse, Immune Response, Structural Stabilization, Endolysosome, Myelination"
GOBP_MESODERMAL_CELL_MIGRATION,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, Autophagy"
GOBP_ISOPRENOID_CATABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis"
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptosis,"Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse"
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis"
GOBP_MACROMOLECULE_CATABOLIC_PROCESS,unknown,"Autophagy, Proteostasis, Lipid Metabolism, DNA Repair, Endolysosome"
GOBP_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle,"Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic"
GOBP_PURINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle,"Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy"
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle,"RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Cell Cycle"
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,unknown,"Oxidative Stress, Immune Response, Autophagy, Proteostasis, Epigenetic"
GOBP_RESPONSE_TO_HEAT,unknown,"Oxidative Stress, Proteostasis, Immune Response, Autophagy, Epigenetic"
GOBP_RESPONSE_TO_FRUCTOSE,unknown,"Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism"
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS,unknown,"Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, APP Metabolism"
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION,unknown,"Vasculature, Immune Response, Structural Stabilization, Myelination, Epigenetic"
GOBP_MEIOTIC_CHROMOSOME_CONDENSATION,Cell Cycle,"Cell Cycle, DNA Repair, Structural Stabilization, Myelination, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_VIA_CHROMOSOMAL_DNA_CYTOSINE_METHYLATION,Epigenetic,"Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response"
GOBP_MEMBRANE_INVAGINATION,unknown,"Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_RESPONSE_TO_ACIDIC_PH,unknown,"Oxidative Stress, Immune Response, Endolysosome, Vasculature, Autophagy"
GOBP_REGULATION_OF_GASTRULATION,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, Epigenetic"
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response"
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Autophagy,"Autophagy, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,Apoptosis,"Apoptosis, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Myelination"
GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,Structural Stabilization,"Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,Structural Stabilization,"Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Immune Response"
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,unknown,"Vasculature, Immune Response, Structural Stabilization, Epigenetic, Autophagy"
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization"
GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,Lipid Metabolism,"Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,unknown,"Proteostasis, Epigenetic, Immune Response, Structural Stabilization, Autophagy"
GOBP_GLIAL_CELL_PROLIFERATION,Immune Response,"Vasculature, Immune Response, Myelination, Synapse, Structural Stabilization"
GOBP_NEURAL_CREST_FORMATION,unknown,"Vasculature, Synapse, Myelination, Structural Stabilization, Immune Response"
GOBP_NEURAL_CREST_CELL_FATE_COMMITMENT,unknown,"Myelination, Synapse, Immune Response, Structural Stabilization, APP Metabolism"
GOBP_SCHWANN_CELL_DIFFERENTIATION,Myelination,"Myelination, Vasculature, Immune Response, Structural Stabilization, APP Metabolism"
GOBP_SCHWANN_CELL_DEVELOPMENT,Myelination,"Myelination, Vasculature, Immune Response, Structural Stabilization, APP Metabolism"
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION,Synapse,"Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_SEROTONIN_SECRETION,Synapse,"Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Vasculature,"Vasculature, Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism"
GOBP_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_PROLIFERATION,unknown,"Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination"
GOBP_NOREPINEPHRINE_TRANSPORT,Synapse,"Synapse, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism"
GOBP_VESICLE_ORGANIZATION,unknown,"Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Synapse"
GOBP_TERPENOID_CATABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic"
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,Autophagy,"Autophagy, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism"
GOBP_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX_RECEPTOR_RECYCLING,unknown,"Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress"
GOBP_PROTEIN_IMPORT,Mitochondrial Metabolism,"Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization"
GOBP_PEPTIDYL_PROLINE_MODIFICATION,unknown,"Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Structural Stabilization"
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION_TO_4_HYDROXY_L_PROLINE,unknown,"Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, DNA Repair"
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,Immune Response,"Immune Response, Synapse, Endolysosome, Oxidative Stress, Apoptosis"
GOBP_REPRODUCTIVE_BEHAVIOR,unknown,"Immune Response, Synapse, Oxidative Stress, Structural Stabilization, Epigenetic"
GOBP_DOLICHOL_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome"
GOBP_LIPOXYGENASE_PATHWAY,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism"
GOBP_TAURINE_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response"
GOBP_GLIAL_CELL_FATE_COMMITMENT,unknown,"Myelination, Immune Response, Synapse, Structural Stabilization, APP Metabolism"
GOBP_GLIAL_CELL_DEVELOPMENT,unknown,"Myelination, Immune Response, Synapse, Structural Stabilization, APP Metabolism"
GOBP_PROTEIN_TO_MEMBRANE_DOCKING,Structural Stabilization,"Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_SIGNALING,unknown,"Immune Response, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis"
GOBP_NATURAL_KILLER_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization"
GOBP_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response,"Vasculature, Immune Response, Structural Stabilization, Myelination, APP Metabolism"
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,unknown,"Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress"
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Immune Response"
GOBP_MATURATION_OF_SSU_RRNA,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,unknown,"Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT,unknown,"Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy"
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT,unknown,"Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION,Epigenetic,"Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response"
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,unknown,"Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism"
GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_RRNA_3_END_PROCESSING,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_REGULATION_OF_AXON_DIAMETER,unknown,"Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response"
